        TIME,    TIDE,      OB,   SURGE,    BIAS,     TWL,SURGE90p,  TWL90p,SURGE10p,   TWL10p
202603260000,   0.102,   0.170,   0.100,  -0.032,   0.170,   0.100,   0.170,   0.100,   0.170
202603260006,   0.101,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260012,   0.103,   0.150,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260018,   0.108,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260024,   0.115,   0.121,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260030,   0.125,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260036,   0.138,   0.131,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260042,   0.153,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260048,   0.172,   0.150,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260054,   0.194,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260100,   0.218,9999.000,   0.100,9999.000,   0.318,   0.100,   0.318,   0.100,   0.318
202603260106,   0.246,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260112,   0.276,   0.219,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260118,   0.310,   0.288,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260124,   0.346,   0.341,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260130,   0.385,   0.380,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260136,   0.426,   0.419,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260142,   0.470,   0.449,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260148,   0.517,   0.488,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260154,   0.565,   0.570,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260200,   0.615,   0.669,   0.100,  -0.046,   0.669,   0.100,   0.669,   0.100,   0.669
202603260206,   0.667,   0.780,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260212,   0.720,   0.859,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
202603260218,   0.775,   0.941,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000,9999.000
